#####################################################################
# Alchemist log file - simulation started at: 2026-01-23T15:58+0000 #
#####################################################################
#
# seed = 42.0
#
# The columns have the following meaning: 
# time PositionX[mean] PositionY[mean] 
0.0 NaN NaN
0.433919173241921 NaN NaN
1.433919173241921 0.00 0.0
2.4339191732419208 0.00100 0.0019999999775
3.4339191732419208 0.00297 0.005939999410543381
4.433919173241921 0.00588 0.011761795423706877
5.433919173241921 0.00970 0.019408925436444752
6.433919173241921 0.0144 0.02882661024854933
7.433919173241921 0.0200 0.03996169780588868
8.433919173241922 0.0264 0.0527626078489383
9.433919173241922 0.0336 0.06717927761090564
10.433919173241922 0.0416 0.08316310870093013
11.433919173241922 0.0503 0.10066691528045302
12.433919173241922 0.0598 0.11964487361696408
13.433919173241922 0.0700 0.14005247307856197
14.433919173241922 0.0809 0.16184646861476526
15.433919173241922 0.0925 0.18498483475347216
16.43391917324192 0.105 0.20942672113060867
17.43391917324192 0.118 0.23513240955757905
18.43391917324192 0.131 0.26206327262191276
19.43391917324192 0.145 0.2901817338082891
20.43391917324192 0.160 0.3194512291202367
21.43391917324192 0.175 0.34983617017708685
22.43391917324192 0.191 0.3813019087560638
23.43391917324192 0.207 0.413814702745603
24.43391917324192 0.224 0.4473416834729694
25.43391917324192 0.241 0.48185082436691984
26.43391917324192 0.259 0.5173109109144141
27.43391917324192 0.277 0.5536915118691512
28.43391917324192 0.296 0.5909629516689263
29.43391917324192 0.315 0.6290962840183951
30.43391917324192 0.334 0.6680632665937559
31.43391917324192 0.354 0.7078363368260501
32.43391917324192 0.375 0.7483885887202107
33.43391917324192 0.396 0.7896937506676103
34.43391917324192 0.417 0.8317261642106353
35.43391917324192 0.438 0.8744607637187344
36.43391917324192 0.460 0.9178730569364015
37.43391917324192 0.482 0.9619391063646577
38.43391917324192 0.505 1.0066355114387642
39.43391917324192 0.528 1.051939391466109
40.43391917324192 0.551 1.097828369289462
41.43391917324192 0.574 1.1442805556420506
42.43391917324192 0.598 1.1912745341621918
43.43391917324192 0.622 1.2387893470364892
44.43391917324192 0.646 1.2868044812418689
45.43391917324192 0.671 1.3352998553579847
46.43391917324192 0.696 1.3842558069227584
47.43391917324192 0.721 1.4336530803050238
48.43391917324192 0.746 1.4834728150694318
49.43391917324192 0.772 1.5336965348099199
50.43391917324192 0.798 1.5843061364291648
51.43391917324192 0.824 1.6352838798425253
52.43391917324192 0.850 1.6866123780860196
53.43391917324192 0.877 1.7382745878088932
54.43391917324192 0.903 1.790253800132306
55.43391917324192 0.930 1.8425336318565924
56.43391917324192 0.957 1.8950980170004472
57.43391917324192 0.985 1.9479311986562469
58.43391917324192 1.01 2.0010177211465274
59.43391917324192 1.04 2.0543424224674327
60.43391917324192 1.07 2.1078904270056835
61.43391917324192 1.10 2.161647138516333
62.43391917324192 1.12 2.215598233349253
63.43391917324192 1.15 2.269729653912938
64.43391917324192 1.18 2.324027602364814
65.43391917324192 1.21 2.378478534517849
66.43391917324192 1.24 2.433069153953773
67.43391917324192 1.27 2.4877864063337776
68.43391917324192 1.30 2.542617473898023
69.43391917324192 1.32 2.59754977014578
70.43391917324192 1.35 2.652570934688454
71.43391917324192 1.38 2.7076688282681687
72.43391917324192 1.41 2.7628315279349724
73.43391917324192 1.44 2.8180473223761213
74.43391917324192 1.47 2.8733047073912235
75.43391917324192 1.50 2.928592381507371
76.43391917324192 1.53 2.9838992417287065
77.43391917324192 1.56 3.0392143794151516
78.43391917324192 1.59 3.0945270762853125
79.43391917324192 1.62 3.149826800538838
80.43391917324192 1.65 3.2051032030937474
81.43391917324192 1.68 3.260346113934486
